author,content,description,publishedAt,source,title,url,urlToImage
,"Rio de Janeiro (AFP) - Rio de Janeiro's far-right governor Wilson Witzel has advocated using a ""missile"" to blow up criminals in one of the Brazilian city's most violent slums.
Witzel, who presided over a record number of police killings in the first three m… [+2256 chars]","Rio de Janeiro's far-right governor Wilson Witzel has advocated using a ""missile"" to blow up criminals in one of the Brazilian city's most violent slums. Witzel, who presided over a record number of police killings in the first three months of his term, said …",2019-06-15T20:12:22Z,"{'id': None, 'name': 'Yahoo.com'}",Rio's far-right governor would use 'a missile' against criminals,https://news.yahoo.com/rios-far-governor-missile-against-criminals-201222133.html,https://s.yimg.com/uu/api/res/1.2/nEqox3B5vRmvYdEySOd48A--~B/aD02ODI7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_us/News/afp.com/6ea9eb2fd9a06a17e5c0d536e8b00e130e55d431.jpg
The Associated Press,"RIO DE JANEIRO (AP) A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to “blow up” drug traffickers in a local slum.
During a ceremony to present a security program, G… [+1532 chars]","RIO DE JANEIRO (AP) — A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to “blow up” drug traffickers in a local slum. During a ceremony to present a security program, …",2019-06-16T00:18:13Z,"{'id': None, 'name': 'Seattletimes.com'}",Activists blast Rio gov comment about slum missile strike,https://www.seattletimes.com/nation-world/nation/activists-blast-rio-gov-comment-about-slum-missile-strike/,https://static.seattletimes.com/wp-content/uploads/2019/06/urn-publicid-ap-org-69c0f0b46a544ce69aa1a16c14a08dd7Brazil_Rio_Violence_02203-1200x630.jpg
CNA,"RIO DE JANEIRO: Rio de Janeiro's far-right governor Wilson Witzel has advocated using a ""missile"" to blow up criminals in one of the Brazilian city's most violent slums.
Witzel, who presided over a record number of police killings in the first three months o… [+2318 chars]","Rio de Janeiro's far-right governor Wilson Witzel has advocated using a ""missile"" to blow up criminals in one of the Brazilian city's most violent slums.",2019-06-15T20:45:14Z,"{'id': None, 'name': 'Channelnewsasia.com'}",Rio's far-right governor would use 'a missile' against criminals,https://www.channelnewsasia.com/news/world/rio-s-far-right-governor-would-use--a-missile--against-criminals-11631192,"https://cna-sg-res.cloudinary.com/image/upload/q_auto,f_auto/image/11631190/16x9/991/557/87ed3024aa139e699bf628b381f2195/Fu/rio-de-janeiro-s-governor-wilson-witzel-pictured-may-2019-who-presided-over-a-record-number-of-police-killings-in-the-first-three-months-of-his-term-said-that-rio-residents-were-living-in-a-state-of-t-1560629842191-2.jpg"
The Associated Press,"A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to ""blow up"" drug traffickers in a local slum.
During a ceremony to present a security program, Gov. Wilson Witzel sa… [+1512 chars]","A human rights official and community activists are criticizing the governor of Rio de Janeiro state for suggesting that a missile be sent to ""blow up"" drug traffickers in a local slum",2019-06-16T00:19:23Z,"{'id': 'abc-news', 'name': 'ABC News'}",Activists blast Rio gov comment about slum missile strike,https://abcnews.go.com/International/wireStory/activists-blast-rio-gov-comment-slum-missile-strike-63740227,https://s.abcnews.com/images/International/WireAP_7e746955d998407fb59a7d01fe6e8f1e_16x9_992.jpg
The Associated Press,"RIO DE JANEIRO - A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to blow up drug traffickers in a local slum.
During a ceremony to present a security program, Gov. W… [+1512 chars]","RIO DE JANEIRO - A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to ""blow up"" drug traffickers in a local slum.",2019-06-16T00:18:51Z,"{'id': None, 'name': 'Thestar.com'}",Activists blast Rio gov comment about slum missile strike,https://www.thestar.com/news/world/americas/2019/06/15/activists-blast-rio-gov-comment-about-slum-missile-strike.html,https://images.thestar.com/cVJG50waz-dtFeeqJ8dN_tqvP8Y=/1280x1024/smart/filters:cb(1560644639778)/https://www.thestar.com/content/dam/thestar/news/world/americas/2019/06/15/activists-blast-rio-gov-comment-about-slum-missile-strike/XLAT162-13_2019_194251.jpg
,"RIO DE JANEIRO A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to blow up drug traffickers in a local slum.
During a ceremony to present a security program, Gov. Wil… [+1644 chars]","A human rights official and community activists are criticizing the governor of Rio de Janeiro state for suggesting that a missile be sent to ""blow up"" drug traffickers in a local slum",2019-06-16T00:20:25Z,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Activists blast Rio gov comment about slum missile strike,https://www.washingtonpost.com/world/the_americas/activists-blast-rio-gov-comment-about-slum-missile-strike/2019/06/15/88736cfa-8fcc-11e9-b6f4-033356502dce_story.html,https://www.washingtonpost.com/resizer/2CjPNwqvXHPS_2RpuRTKY-p3eVo=/1484x0/www.washingtonpost.com/pb/resources/img/twp-social-share.png
,"RIO DE JANEIRO A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to ""blow up"" drug traffickers in a local slum.
During a ceremony to present a security program, Gov. W… [+1531 chars]","A human rights official and community activists are criticizing the governor of Rio de Janeiro state for saying that a missile could be sent to ""blow up"" drug traffickers in a local slum.",2019-06-16T00:18:13Z,"{'id': 'fox-news', 'name': 'Fox News'}",Activists blast Rio gov comment about slum missile strike,https://www.foxnews.com/world/activists-blast-rio-gov-comment-about-slum-missile-strike,https://static.foxnews.com/foxnews.com/content/uploads/2019/06/ContentBroker_contentid-e3114f8b892244b583bb539f67339f1e.png
Anthony Boadle,BRASILIA (Reuters) - Leaked personal messages published on Saturday by a news website show the judge who led the corruption trial that jailed former Brazil president Luiz Inacio Lula da Silva advised prosecutors to influence public opinion against the leftist… [+2932 chars],Leaked personal messages published on Saturday by a news website show the judge who led the corruption trial that jailed former Brazil president Luiz Inacio Lula da Silva advised prosecutors to influence public opinion against the leftist leader.,2019-06-15T15:23:11Z,"{'id': 'reuters', 'name': 'Reuters'}",Leaked chats appear to show judge advised prosecutors in Lula case,https://www.reuters.com/article/us-brazil-corruption-idUSKCN1TG0F3,https://s4.reutersmedia.net/resources/r/?m=02&d=20190615&t=2&i=1398140492&w=1200&r=LYNXNPEF5E0BR
,"Brazilian president Jair Bolsonaro criticised the country's Supreme Court after they ruled to criminalise homophobia, making it a crime equivalent to racism in Brazil.
Bolsonaro told reporters on Friday the Supreme Court was ""completely wrong"" and had overst… [+1555 chars]",Brazilian president Jair Bolsonaro told reporters on Friday that the Supreme Court's decision to criminalise homophobia overstepped the court's prerogatives.,2019-06-15T15:00:13Z,"{'id': None, 'name': 'Euronews.com'}",Brazilian president says decision to criminalise homophobia 'completely wrong',https://www.euronews.com/2019/06/15/brazilian-president-says-decision-to-criminalise-homophobia-completely-wrong,https://static.euronews.com/articles/stories/03/96/21/32/1000x563_cmsv2_931a4bb0-894f-56f3-bb01-9acc705dd1c6-3962132.jpg
Agence France-Presse,"Brazil’s far-right President Jair Bolsonaro on Friday criticized the Supreme Court’s decision to criminalize homophobia, saying it could “hurt” gays by deterring companies from hiring them.
Bolsonaro, who has a history of homophobic remarks — he once declare… [+1593 chars]","Brazil’s far-right President Jair Bolsonaro on Friday criticized the Supreme Court’s decision to criminalize homophobia, saying it could “hurt” gays by deterring companies from hiring them. Bolsonaro, who has a history of homophobic remarks — he once declared…",2019-06-15T11:55:37Z,"{'id': None, 'name': 'Rawstory.com'}",Brazil’s president says criminalizing homophobia could ‘hurt’ gays,https://www.rawstory.com/2019/06/brazils-president-says-criminalizing-homophobia-could-hurt-gays/,https://www.rawstory.com/wp-content/uploads/2019/06/Brazil-Gay-Pride.jpg
"Abby Young-Powell, Abby Young-Powell","A man who stabbed Brazilian president Jair Bolsonaro at a campaign rally last year has been acquitted on the grounds that he was mentally ill. 
Adelio Bispo de Oliveira stabbed his country's leader with a knife in the streets of Juiz de Fora, north of Rio de… [+3246 chars]","'I will contact my lawyer. I will try to do whatever is possible. They tried to kill me,' the President said",2019-06-15T13:06:32Z,"{'id': 'independent', 'name': 'Independent'}",Man who stabbed Brazil's Jair Bolsonaro acquitted because of mental illness,https://www.independent.co.uk/news/world/americas/jair-bolsonaro-stabbing-man-brazil-mental-illness-acquitted-a8960036.html,https://static.independent.co.uk/s3fs-public/thumbnails/image/2018/12/18/17/2018-12-17T154910Z-564365625-RC172B111800-RTRMADP-3-GLOBAL-POY.JPG
Phil Dzikiy,"In this edition of Climate Crisis Weekly:
How the most vulnerable nations are approaching the climate crisis.
An effort to move a trillion metric tons of carbon dioxide out of the air and into soil.
Cities need to halve emissions by 2030, study says.
A Tr… [+6370 chars]","In this edition of Climate Crisis Weekly: How the most vulnerable nations are approaching the climate crisis. An effort to move a trillion metric tons of carbon dioxide out of the air and into soil. Cities need to halve emissions by 2030, study says. A Trump-…",2019-06-15T13:00:18Z,"{'id': None, 'name': 'Electrek.co'}","Climate Crisis Weekly: Vulnerable nations, moving CO2 into the soil, ‘rogue’ Trump regulator",https://electrek.co/2019/06/15/climate-crisis-weekly-vulnerable-nations/,https://electrek.co/wp-content/uploads/sites/3/2019/06/fiji.jpg?quality=82&strip=all
Lucy Pasha-Robinson,"Dear reader,
When Brazils Jair Bolsonaro came out in support of Neymar da Silva Santos Júnior the national soccer star accused of raping a model in Paris last month womens rights activists braced themselves for the fallout.
The presidents comment on the ong… [+3081 chars]",Plus: Meet the transgender environmentalist our planet needs.,2019-06-15T14:00:10Z,"{'id': None, 'name': 'Huffpost.com'}",HuffPost Her Stories: Why It Matters That Brazil's President Sided With A Soccer Star Accused Of Rape,https://www.huffpost.com/entry/huffpost-her-stories-brazil-bolsonaro-neymar_n_5d03bbcfe4b0304a120ec4d5,https://img.huffingtonpost.com/asset/5d03be7f2500004e12e8c9bc.jpeg?cache=4ra6zmvlks&ops=1910_1000
Daniella Cheslow,"Adélio Bispo de Oliveira, who confessed to stabbing Jair Bolsonaro, sits after being detained following the attack in September 2019.
Brazil Military Police /AP
A Brazilian judge has acquitted a man who stabbed then-presidential candidate Jair Bolsonaro. Th… [+1981 chars]","A Brazilian judge has acquitted a man who stabbed then-presidential candidate Jair Bolsonaro. The judge ruled that Adélio Bispo de Oliveira was mentally ill and ordered him held in a mental facility indefinitely, The Associated Press reports. Jair Bolsonaro w…",2019-06-15T16:34:00Z,"{'id': None, 'name': 'Npr.org'}",Brazilian Judge Acquits Man Who Stabbed Jair Bolsonaro,https://www.npr.org/2019/06/15/733032255/brazilian-judge-acquits-man-who-stabbed-jair-bolsonaro,https://media.npr.org/assets/img/2019/06/15/ap_18249845421300_wide-bdc8dd3f0f587b8c1c1ae94ec2ca757c79275e32.jpg?s=1400
feedfeeder,"""It's my cookie file and if I come up with something that's lame and I like it,
it goes in.""
-- karl (Karl Lehenbauer)",Brazilian Judge Says The Man Who Stabbed Jair Bolsonaro Will Not Be ConvictedNPR  Bolsanaro stabber absolved for reasons of mental illnessThe Guardian  Man who stabbed Brazil&rsquo;s Jair Bolsonaro acquitted because of mental illnessThe Independent   View ful…,2019-06-15T18:12:50Z,"{'id': None, 'name': 'Slashdot.org'}",Brazilian Judge Says The Man Who Stabbed Jair Bolsonaro Will Not Be Convicted - NPR,https://slashdot.org/firehose.pl?op=view&amp;id=110455106,
By Anthony Boadle,BRASILIA (Reuters) - Leaked personal messages published on Saturday by a news website show the judge who led the corruption trial that jailed former Brazil president Luiz Inacio Lula da Silva advised prosecutors to influence public opinion against the leftist… [+2926 chars],BRASILIA (Reuters) - Leaked personal messages published on Saturday by a news website show the judge who led the corruption trial that jailed former Brazil president Luiz Inacio Lula da Silva advised prosecutors to influence public opinion against the leftist…,2019-06-15T15:30:57Z,"{'id': None, 'name': 'Thestar.com.my'}",Leaked chats appear to show judge advised prosecutors in Lula case,http://www.thestar.com.my/news/world/2019/06/15/leaked-chats-appear-to-show-judge-advised-prosecutors-in-lula-case/,https://www.thestar.com.my/~/media/online/2019/06/15/15/30/20190615t152957z_1_lynxnpef5e0c3_rtroptp_4_brazilpolitics.ashx/?w=620&h=413&crop=1&hash=029404F3B7D6B081BC40B91C241BC67DE287CABF
